tipo,bot,deal_id,veredicto,nota
pregunta_ignorada,B,1735808,FP,regex matcheaba 'que' pronombre relativo (v1)
pregunta_ignorada,B,1714437,FP,gabi si respondio antes de seguir el guion (v1)
pregunta_ignorada,B,1741322,FP,autorespuesta de otro negocio (v1)
pregunta_ignorada,B,1762648,FP,gabi respondio la pregunta (v1)
pregunta_ignorada,B,1707261,FP,gabi reformulo el termino preguntado (v1)
pregunta_ignorada,B,1708075,FP,'que' relativo (v1)
pregunta_ignorada,B,1754998,FP,gabi respondio (v1)
pregunta_ignorada,B,1709156,FP,'que' relativo (v1)
pregunta_ignorada,B,1738645,FP,gabi respondio (v1)
pregunta_ignorada,B,1757700,FP,'como' aproximativo no interrogativo (v1)
pregunta_ignorada,B,1707392,FP,'que' relativo (v1)
pregunta_ignorada,B,1752732,FP,autorespuesta de negocio (v1)
pregunta_ignorada,B,1721158,FP,autorespuesta de negocio (v1)
pregunta_ignorada,B,1706706,FP,gabi respondio deflectando (v1)
pregunta_ignorada,B,1708870,FP,autorespuesta de negocio (v1)
pregunta_ignorada,B,1755681,FP,preguntas retoricas tras cierre (v2)
pregunta_ignorada,B,1770077,TP,pregunta si aceptan terrenos y solo recibe nudge (v2)
pregunta_ignorada,B,1716011,FP,artefacto de orden de turnos (v2)
pregunta_ignorada,B,1705352,FP,autorespuesta de negocio + orden de turnos (v2)
pregunta_ignorada,B,1752312,FP,el nudge precede a la respuesta real por orden (v2)
repregunta_dato_ya_dado,B,1769475,FP,usuario dijo no saber el area; 60 mts era excedente
repregunta_dato_ya_dado,B,1710687,FP,dato no verificable en la ventana
repregunta_dato_ya_dado,B,1715016,FP,avaluo 2022 no es precio pedido
repregunta_dato_ya_dado,B,1708118,TP,usuario dio $3'700.000 y gabi repregunta el valor
repregunta_dato_ya_dado,B,1710630,FP,precio de compra 2011 no es precio pedido
repregunta_dato_ya_dado,B,1763311,TP,usuario dio 3 recamaras y gabi las vuelve a pedir
repregunta_dato_ya_dado,B,1707278,FP,el usuario aun no habia dado cajones
repregunta_dato_ya_dado,B,1713835,TP,usuario dio 3 banos y gabi los vuelve a pedir
repregunta_dato_ya_dado,B,1725487,FP,gabi confirma un valor ya anotado; no repregunta
repregunta_dato_ya_dado,B,1741786,TP,usuario dio 52 metros y gabi repregunta area
repregunta_dato_ya_dado,B,1753961,TP,usuario dio 6 recamaras y gabi las vuelve a pedir
repregunta_dato_ya_dado,B,1762582,TP,usuario dio precio en mxn y gabi lo vuelve a pedir
ambigua_registrada,B,1725444,FP,gabi aclaro que no necesitaba ese dato
ambigua_registrada,B,1711191,FP,gabi lo registro bien y repregunto el bloque
ambigua_registrada,B,1733933,FP,gabi dedujo el estado y repregunto
ambigua_registrada,B,1751709,FP,gabi ofrecio ayuda y acepto aproximado
ambigua_registrada,B,1706441,FP,el usuario pedia visita; no es ambiguedad de dato
ambigua_registrada,B,1707297,FP,gabi tomo el dato y pidio solo lo faltante
ambigua_registrada,B,1760678,FP,'no tengo ningun problema' matcheado como ambiguo
ambigua_registrada,B,1740714,FP,'no se encuentra' matcheado como 'no se'
ambigua_registrada,B,1707691,FP,gabi insistio por el codigo postal
ambigua_registrada,B,1729068,FP,adeudo infonavit no es respuesta ambigua a un campo
ambigua_registrada,B,1743054,FP,'Ok' seguido de repregunta del bloque
ambigua_registrada,B,1707038,FP,gabi cerro con la informacion completa
